,code,2014,2015,2016,2017
112,JOR,9123.978709,9089.006864,9092.954278,9241.513754
113,JPN,39179.15561,40396.24321,41118.07804,41958.96216
114,KAZ,24924.37021,25123.31799,25314.86554,26490.84377
115,KEN,2867.10191,2988.073282,3121.830489,3258.154499
116,KGZ,3356.983448,3453.360746,3567.812684,3733.606138
117,KHM,3300.61675,3513.82356,3742.958793,4019.679985
118,KIR,1917.627413,2110.117273,2210.850719,2227.920995
119,KNA,27910.15016,28261.41206,29137.82185,28869.68919
120,KOR,33587.5834,35760.73444,37142.8329,38824.11539
121,KWT,76703.31167,75042.14197,75689.27575,71695.56421
122,LAC,15156.88574,15155.39686,15156.15439,15604.96578
123,LAO,5689.82855,6075.952799,6473.243696,6942.238417
124,LBN,13049.03296,12695.41014,12693.56418,12813.86955
125,LBR,1328.913111,1309.269565,1269.886223,1293.415934
126,LBY,16870.48513,15403.57322,14964.52288,19056.8043
127,LCA,12416.87345,12520.76322,12990.80775,13505.45477
128,LCN,15654.73684,15661.93512,15674.98005,16156.20469
129,LDC,2572.910826,2650.399936,2728.232875,2857.675589
130,LIC,2029.215229,2057.381785,2095.551678,2184.874577
131,LIE,,,,
132,LKA,11250.30924,11830.69575,12359.34586,12878.58867
133,LMC,6056.980528,6385.857221,6741.405472,7166.048595
134,LMY,9664.154347,10026.31459,10488.83226,11115.41974
135,LSO,2972.012946,3062.068836,3170.578608,3132.495534
136,LTE,15330.12418,15955.48804,16689.0103,17812.90106
137,LTU,28156.13581,28823.81289,30334.19087,33314.74037
138,LUX,101297.5757,103750.7751,108165.7614,110589.1924
139,LVA,23844.22612,24830.93429,25875.98735,28115.34769
140,MAC,137832.9615,107069.5956,105577.6662,116370.7403
141,MAF,,,,
142,MAR,7507.240831,7822.968048,7885.837651,8267.345841
143,MCO,,,,
144,MDA,6035.022647,6082.841894,6424.371154,6858.891958
145,MDG,1693.795099,1718.597532,1758.845163,1813.515493
146,MDV,13622.88572,13546.05023,13931.36278,14523.99637
147,MEA,18585.6686,18877.15572,19756.56365,20096.90388
148,MEX,18045.98446,18284.88284,18783.16158,19423.92769
149,MHL,3443.028342,3519.218145,3585.710747,3780.93897
150,MIC,10568.27138,10982.11721,11508.83453,12216.2633
151,MKD,13368.14674,13831.22799,14813.35745,15298.95193
152,MLI,1974.217655,2053.128574,2131.589703,2221.757886
153,MLT,33391.11068,36195.56319,38347.86857,41510.28901
154,MMR,5005.999653,5372.241161,5709.871361,6172.392649
155,MNA,12427.76456,12478.38396,13343.38173,13752.40842
156,MNE,15371.1069,16337.25379,17866.47225,19355.01984
157,MNG,11925.8134,12100.12735,12140.84709,12791.57934
158,MNP,,,,
159,MOZ,1291.74681,1354.391906,1381.315497,1418.485398
160,MRT,3993.317015,3937.947108,3940.244577,4023.499238
161,MUS,19290.69193,20162.99668,21151.24777,22355.19052
162,MWI,1207.29441,1220.229587,1230.416571,1269.644595
163,MYS,25875.50267,27116.57626,28246.75055,30025.17655
164,NAC,54092.87647,55578.09015,56608.44707,58594.47232
165,NAM,10598.66867,11160.37964,11200.42787,11104.41938
166,NCL,,,,
167,NER,951.1605867,964.8380788,984.6831336,1012.859196
168,NGA,6009.989453,6072.477295,5882.98734,5887.573078
169,NIC,4950.081248,5174.972123,5400.248939,5687.231512
170,NLD,49233.2154,50302.06775,51338.57326,54503.08193
171,NOR,65892.68928,60385.11676,57744.27451,62012.40776
172,NPL,2520.689553,2621.766575,2641.971128,2874.983331
173,NRU,13273.48365,13104.48037,13982.20157,15039.31757
174,NZL,37260.6294,37475.17836,39122.54213,40438.57095
175,OED,40169.9652,41321.40507,42379.5574,44202.23048
176,OMN,41950.78764,41911.08648,42375.54543,41563.63827
177,OSS,25120.43334,25554.35886,25918.99758,26472.76437
178,PAK,4593.96424,4762.296721,4975.654395,5241.938741
179,PAN,21167.17679,22237.09305,23195.81113,24472.00985
180,PER,12561.24545,12944.82234,13403.44727,13771.45995
181,PHL,6930.764463,7313.409805,7784.136699,8340.331331
182,PLW,16195.01252,17977.53101,18256.89903,17865.79081
183,PNG,3763.077879,4081.298247,4209.043662,4353.283357
184,POL,25612.25783,26856.03522,27735.35085,29922.20498
185,PRE,3767.703114,3819.812211,3894.830069,3919.523689
186,PRI,37053.7532,37715.36186,38383.03576,39006.3906
187,PRK,,,,
188,PRT,28742.44038,29668.8592,31043.56386,32777.40197
189,PRY,11486.94437,11807.77259,12287.98588,12971.68385
190,PSE,4697.286797,4799.105387,4967.187882,5117.754563
191,PSS,5441.802743,5659.376835,5823.109935,6100.47862
192,PST,42846.08241,43943.7996,45125.47124,47055.58117
193,PYF,,,,
194,QAT,123308.2023,123822.0833,123573.6308,124609.3041
195,ROU,20623.32437,21631.77015,23868.0692,26631.87948
196,RUS,25751.51414,24061.09937,24072.27793,25766.92881
197,RWA,1762.105585,1890.203675,1973.146966,2078.052755
198,SAS,5288.857306,5671.434013,6097.572772,6562.46707
199,SAU,52550.79246,53897.94398,54159.79239,53693.3697
200,SDN,4397.809343,4551.996918,4703.856808,4880.261517
201,SEN,3067.034049,3205.894499,3351.536617,3556.137758
202,SGP,86611.51359,89007.4608,91452.04273,96552.60261
203,SLB,2216.265053,2235.826964,2271.613915,2337.642672
204,SLE,1803.863023,1416.366137,1486.044851,1544.42929
205,SLV,7236.117362,7453.429732,7686.143937,7972.782895
206,SMR,59290.9167,59697.44342,61250.86378,63037.12578
